Beginning training
SPS: 169
global_step=135134, episodic_return=282.72
SPS: 169
global_step=136135, episodic_return=403.06
SPS: 169
global_step=137136, episodic_return=323.03
SPS: 169
global_step=138137, episodic_return=276.30
SPS: 169
global_step=139138, episodic_return=371.44
SPS: 169
global_step=140139, episodic_return=323.61
SPS: 169
global_step=141140, episodic_return=361.07
SPS: 169
global_step=142141, episodic_return=336.49
SPS: 169
global_step=143142, episodic_return=238.48
SPS: 169
global_step=144143, episodic_return=350.22
SPS: 169
global_step=145144, episodic_return=348.86
SPS: 169
global_step=146145, episodic_return=430.93
SPS: 169
global_step=147146, episodic_return=382.80
SPS: 169
global_step=148147, episodic_return=364.43
SPS: 169
global_step=149148, episodic_return=401.48
SPS: 169
global_step=150149, episodic_return=364.85
SPS: 169
global_step=151150, episodic_return=397.56
SPS: 169
global_step=152151, episodic_return=446.45
SPS: 169
global_step=153152, episodic_return=415.72
SPS: 169
global_step=154153, episodic_return=371.45
SPS: 169
global_step=155154, episodic_return=436.13
SPS: 169
global_step=156155, episodic_return=419.19
SPS: 169
global_step=157156, episodic_return=483.95
SPS: 169
global_step=158157, episodic_return=522.22
SPS: 169
global_step=159158, episodic_return=502.17
SPS: 169
global_step=160159, episodic_return=442.64
SPS: 169
global_step=161160, episodic_return=361.24
SPS: 169
global_step=162161, episodic_return=466.31
SPS: 169
global_step=163162, episodic_return=360.08
SPS: 169
global_step=164163, episodic_return=375.24
SPS: 169
global_step=165164, episodic_return=498.56
SPS: 169
global_step=166165, episodic_return=427.24
SPS: 169
global_step=167166, episodic_return=390.52
SPS: 169
global_step=168167, episodic_return=512.65
SPS: 169
global_step=169168, episodic_return=504.85
SPS: 169
global_step=170169, episodic_return=506.42
SPS: 169
global_step=171170, episodic_return=393.98
SPS: 169
global_step=172171, episodic_return=454.82
SPS: 169
global_step=173172, episodic_return=449.19
SPS: 169
global_step=174173, episodic_return=376.40
SPS: 169
global_step=175174, episodic_return=409.11
SPS: 169
global_step=176175, episodic_return=301.34
SPS: 169
global_step=177176, episodic_return=505.26
SPS: 169
global_step=178177, episodic_return=337.02
global_step=179178, episodic_return=417.52
SPS: 169
global_step=180179, episodic_return=352.19
SPS: 169
global_step=181180, episodic_return=423.60
SPS: 169
global_step=182181, episodic_return=288.88
SPS: 169
global_step=183182, episodic_return=348.34
SPS: 169
global_step=184183, episodic_return=384.53
SPS: 169
global_step=185184, episodic_return=300.09
SPS: 169
global_step=186185, episodic_return=668.51
SPS: 169
global_step=187186, episodic_return=339.54
SPS: 169
global_step=188187, episodic_return=409.84
SPS: 169
global_step=189188, episodic_return=477.03
SPS: 169
global_step=190189, episodic_return=640.73
SPS: 169
global_step=191190, episodic_return=637.94
SPS: 169
global_step=192191, episodic_return=280.21
SPS: 169
global_step=193192, episodic_return=495.50
SPS: 169
global_step=194193, episodic_return=451.01
SPS: 169
global_step=195194, episodic_return=568.99
SPS: 169
global_step=196195, episodic_return=664.58
SPS: 169
global_step=197196, episodic_return=695.41
SPS: 169
global_step=198197, episodic_return=618.30
SPS: 169
global_step=199198, episodic_return=581.90
SPS: 169
global_step=200199, episodic_return=340.29
SPS: 169
global_step=201200, episodic_return=722.94
SPS: 169
global_step=202201, episodic_return=670.46
SPS: 169
global_step=203202, episodic_return=704.16
SPS: 169
global_step=204203, episodic_return=710.66
SPS: 169
global_step=205204, episodic_return=710.88
SPS: 169
global_step=206205, episodic_return=707.23
SPS: 169
global_step=207206, episodic_return=669.26
SPS: 169
global_step=208207, episodic_return=690.02
SPS: 169
global_step=209208, episodic_return=727.71
SPS: 169
global_step=210209, episodic_return=721.03
SPS: 169
global_step=211210, episodic_return=689.43
SPS: 169
global_step=212211, episodic_return=731.34
SPS: 169
global_step=213212, episodic_return=723.11
SPS: 169
global_step=214213, episodic_return=709.89
SPS: 169
global_step=215214, episodic_return=712.63
SPS: 169
global_step=216215, episodic_return=706.36
SPS: 169
global_step=217216, episodic_return=708.39
SPS: 169
global_step=218217, episodic_return=411.20
SPS: 169
global_step=219218, episodic_return=585.94
SPS: 169
global_step=220219, episodic_return=639.39
SPS: 169
global_step=221220, episodic_return=493.31
SPS: 169
global_step=222221, episodic_return=536.41
global_step=223222, episodic_return=719.31
SPS: 169
global_step=224223, episodic_return=697.69
SPS: 169
global_step=225224, episodic_return=710.07
SPS: 169
global_step=226225, episodic_return=181.46
SPS: 169
global_step=227226, episodic_return=703.70
SPS: 169
global_step=228227, episodic_return=286.47
SPS: 169
global_step=229228, episodic_return=586.57
SPS: 169
global_step=230229, episodic_return=382.97
SPS: 169
global_step=231230, episodic_return=573.59
SPS: 169
global_step=232231, episodic_return=561.25
SPS: 169
global_step=233232, episodic_return=350.22
SPS: 169
global_step=234233, episodic_return=699.87
SPS: 169
global_step=235234, episodic_return=546.66
SPS: 169
global_step=236235, episodic_return=694.53
SPS: 169
global_step=237236, episodic_return=489.75
SPS: 169
global_step=238237, episodic_return=684.59
SPS: 169
global_step=239238, episodic_return=693.18
SPS: 169
global_step=240239, episodic_return=697.74
SPS: 169
global_step=241240, episodic_return=699.36
SPS: 169
global_step=242241, episodic_return=639.37
SPS: 169
global_step=243242, episodic_return=305.41
SPS: 169
global_step=244243, episodic_return=700.27
SPS: 169
global_step=245244, episodic_return=687.61
SPS: 169
global_step=246245, episodic_return=503.67
SPS: 169
global_step=247246, episodic_return=487.49
SPS: 169
global_step=248247, episodic_return=598.55
SPS: 169
global_step=249248, episodic_return=459.77
SPS: 169
global_step=250249, episodic_return=629.74
SPS: 169
global_step=251250, episodic_return=516.92
SPS: 169
global_step=252251, episodic_return=559.27
SPS: 169
global_step=253252, episodic_return=557.45
SPS: 169
global_step=254253, episodic_return=577.79
SPS: 169
global_step=255254, episodic_return=532.47
SPS: 169
global_step=256255, episodic_return=376.76
SPS: 169
global_step=257256, episodic_return=265.58
SPS: 169
global_step=258257, episodic_return=327.09
SPS: 169
global_step=259258, episodic_return=371.74
SPS: 169
global_step=260259, episodic_return=415.00
SPS: 169
global_step=261260, episodic_return=528.22
SPS: 169
global_step=262261, episodic_return=292.42
SPS: 169
global_step=263262, episodic_return=444.50
SPS: 169
global_step=264263, episodic_return=525.29
SPS: 169
global_step=265264, episodic_return=184.32
SPS: 169
global_step=266265, episodic_return=492.92
SPS: 169
global_step=267266, episodic_return=179.07
global_step=268267, episodic_return=675.88
SPS: 169
global_step=269268, episodic_return=169.21
SPS: 169
global_step=270269, episodic_return=176.16
SPS: 169
global_step=271270, episodic_return=652.99
SPS: 169
global_step=272271, episodic_return=239.49
SPS: 169
global_step=273272, episodic_return=171.53
SPS: 169
global_step=274273, episodic_return=687.68
SPS: 169
global_step=275274, episodic_return=695.32
SPS: 169
global_step=276275, episodic_return=663.03
SPS: 169
global_step=277276, episodic_return=237.71
SPS: 169
global_step=278277, episodic_return=528.47
SPS: 169
global_step=279278, episodic_return=206.56
SPS: 169
global_step=280279, episodic_return=208.90
SPS: 169
global_step=281280, episodic_return=234.88
SPS: 169
global_step=282281, episodic_return=696.88
SPS: 169
global_step=283282, episodic_return=620.02
SPS: 169
global_step=284283, episodic_return=687.15
SPS: 169
global_step=285284, episodic_return=496.67
SPS: 169
global_step=286285, episodic_return=555.27
SPS: 169
global_step=287286, episodic_return=518.96
SPS: 169
global_step=288287, episodic_return=201.95
SPS: 169
global_step=289288, episodic_return=651.02
SPS: 169
global_step=290289, episodic_return=467.08
SPS: 169
global_step=291290, episodic_return=600.20
SPS: 169
global_step=292291, episodic_return=583.83
SPS: 169
global_step=293292, episodic_return=677.26
SPS: 169
global_step=294293, episodic_return=202.78
SPS: 169
global_step=295294, episodic_return=539.85
SPS: 169
global_step=296295, episodic_return=666.45
SPS: 169
global_step=297296, episodic_return=669.32
SPS: 169
global_step=298297, episodic_return=476.79
SPS: 169
global_step=299298, episodic_return=684.63
SPS: 169
global_step=300299, episodic_return=672.11
SPS: 169
global_step=301300, episodic_return=669.83
SPS: 169
global_step=302301, episodic_return=247.90
SPS: 169
global_step=303302, episodic_return=702.07
SPS: 169
global_step=304303, episodic_return=308.45
SPS: 169
global_step=305304, episodic_return=644.03
SPS: 169
global_step=306305, episodic_return=713.32
SPS: 169
global_step=307306, episodic_return=705.02
SPS: 169
global_step=308307, episodic_return=609.35
SPS: 169
global_step=309308, episodic_return=186.44
SPS: 169
global_step=310309, episodic_return=493.72
SPS: 169
global_step=311310, episodic_return=215.07
global_step=312311, episodic_return=261.71
SPS: 169
global_step=313312, episodic_return=602.36
SPS: 169
global_step=314313, episodic_return=633.53
SPS: 169
global_step=315314, episodic_return=611.95
SPS: 169
global_step=316315, episodic_return=619.57
SPS: 169
global_step=317316, episodic_return=275.27
SPS: 169
global_step=318317, episodic_return=618.54
SPS: 169
global_step=319318, episodic_return=651.63
SPS: 169
global_step=320319, episodic_return=683.75
SPS: 169
global_step=321320, episodic_return=679.89
SPS: 169
global_step=322321, episodic_return=654.56
SPS: 169
global_step=323322, episodic_return=312.31
SPS: 169
global_step=324323, episodic_return=693.72
SPS: 169
global_step=325324, episodic_return=632.74
SPS: 169
global_step=326325, episodic_return=689.58
SPS: 169
global_step=327326, episodic_return=687.55
SPS: 169
global_step=328327, episodic_return=696.98
SPS: 169
global_step=329328, episodic_return=286.48
SPS: 169
global_step=330329, episodic_return=625.95
SPS: 169
global_step=331330, episodic_return=251.21
SPS: 169
global_step=332331, episodic_return=636.46
SPS: 169
global_step=333332, episodic_return=608.26
SPS: 169
global_step=334333, episodic_return=583.43
SPS: 169
global_step=335334, episodic_return=590.94
SPS: 169
global_step=336335, episodic_return=619.38
SPS: 169
global_step=337336, episodic_return=588.83
SPS: 169
global_step=338337, episodic_return=617.85
SPS: 169
global_step=339338, episodic_return=395.70
SPS: 169
global_step=340339, episodic_return=298.52
SPS: 169
global_step=341340, episodic_return=302.57
SPS: 169
global_step=342341, episodic_return=252.95
SPS: 169
global_step=343342, episodic_return=364.77
SPS: 169
global_step=344343, episodic_return=256.95
SPS: 169
global_step=345344, episodic_return=463.87
SPS: 169
global_step=346345, episodic_return=536.36
SPS: 169
global_step=347346, episodic_return=520.64
SPS: 169
global_step=348347, episodic_return=596.54
SPS: 169
global_step=349348, episodic_return=623.45
SPS: 169
global_step=350349, episodic_return=543.39
SPS: 169
global_step=351350, episodic_return=618.45
SPS: 169
global_step=352351, episodic_return=166.69
SPS: 169
global_step=353352, episodic_return=606.48
SPS: 169
global_step=354353, episodic_return=529.09
SPS: 169
global_step=355354, episodic_return=623.77
SPS: 169
global_step=356355, episodic_return=526.84
global_step=357356, episodic_return=635.88
SPS: 169
global_step=358357, episodic_return=653.24
SPS: 169
global_step=359358, episodic_return=506.97
SPS: 169
global_step=360359, episodic_return=532.02
SPS: 169
global_step=361360, episodic_return=483.60
SPS: 169
global_step=362361, episodic_return=538.75
SPS: 169
global_step=363362, episodic_return=432.51
SPS: 169
global_step=364363, episodic_return=516.49
SPS: 169
global_step=365364, episodic_return=311.58
SPS: 169
global_step=366365, episodic_return=587.28
SPS: 169
global_step=367366, episodic_return=588.65
SPS: 169
global_step=368367, episodic_return=372.04
SPS: 169
global_step=369368, episodic_return=261.40
SPS: 169
global_step=370369, episodic_return=592.28
SPS: 169
global_step=371370, episodic_return=432.26
SPS: 169
global_step=372371, episodic_return=347.92
SPS: 169
global_step=373372, episodic_return=296.27
SPS: 169
global_step=374373, episodic_return=525.94
SPS: 169
global_step=375374, episodic_return=416.61
SPS: 169
global_step=376375, episodic_return=541.84
SPS: 169
global_step=377376, episodic_return=420.04
SPS: 169
global_step=378377, episodic_return=398.19
SPS: 169
global_step=379378, episodic_return=393.48
SPS: 169
global_step=380379, episodic_return=476.15
SPS: 169
global_step=381380, episodic_return=451.27
SPS: 169
global_step=382381, episodic_return=527.03
SPS: 169
global_step=383382, episodic_return=449.27
SPS: 169
global_step=384383, episodic_return=469.02
SPS: 169
global_step=385384, episodic_return=491.23
SPS: 169
global_step=386385, episodic_return=460.28
SPS: 169
global_step=387386, episodic_return=541.06
SPS: 169
global_step=388387, episodic_return=492.34
SPS: 169
global_step=389388, episodic_return=517.24
SPS: 169
global_step=390389, episodic_return=473.16
SPS: 169
global_step=391390, episodic_return=465.94
SPS: 169
global_step=392391, episodic_return=463.17
SPS: 169
global_step=393392, episodic_return=453.97
SPS: 169
global_step=394393, episodic_return=516.98
SPS: 169
global_step=395394, episodic_return=511.67
SPS: 169
global_step=396395, episodic_return=477.61
SPS: 169
global_step=397396, episodic_return=449.72
SPS: 169
global_step=398397, episodic_return=491.27
SPS: 169
global_step=399398, episodic_return=446.56
SPS: 169
global_step=400399, episodic_return=495.24
global_step=401400, episodic_return=465.37
SPS: 169
global_step=402401, episodic_return=573.77
SPS: 169
global_step=403402, episodic_return=582.35
SPS: 169
global_step=404403, episodic_return=489.80
SPS: 169
global_step=405404, episodic_return=491.31
SPS: 169
global_step=406405, episodic_return=460.15
SPS: 169
global_step=407406, episodic_return=465.07
SPS: 169
global_step=408407, episodic_return=520.64
SPS: 169
global_step=409408, episodic_return=519.39
SPS: 169
global_step=410409, episodic_return=387.35
SPS: 169
global_step=411410, episodic_return=569.43
SPS: 169
global_step=412411, episodic_return=583.08
SPS: 169
global_step=413412, episodic_return=586.07
SPS: 169
global_step=414413, episodic_return=566.89
SPS: 169
global_step=415414, episodic_return=341.80
SPS: 169
global_step=416415, episodic_return=512.83
SPS: 169
global_step=417416, episodic_return=500.65
SPS: 169
global_step=418417, episodic_return=487.49
SPS: 169
global_step=419418, episodic_return=249.15
SPS: 169
global_step=420419, episodic_return=440.26
SPS: 169
global_step=421420, episodic_return=424.83
SPS: 169
global_step=422421, episodic_return=465.31
SPS: 169
global_step=423422, episodic_return=482.42
SPS: 169
global_step=424423, episodic_return=515.12
SPS: 169
global_step=425424, episodic_return=475.05
SPS: 169
global_step=426425, episodic_return=354.49
SPS: 169
global_step=427426, episodic_return=491.16
SPS: 169
global_step=428427, episodic_return=549.09
SPS: 169
global_step=429428, episodic_return=528.69
SPS: 169
global_step=430429, episodic_return=556.21
SPS: 169
global_step=431430, episodic_return=462.43
SPS: 169
global_step=432431, episodic_return=491.27
SPS: 169
global_step=433432, episodic_return=163.05
SPS: 169
global_step=434433, episodic_return=576.54
SPS: 169
global_step=435434, episodic_return=564.57
SPS: 169
global_step=436435, episodic_return=573.11
SPS: 169
global_step=437436, episodic_return=575.60
SPS: 169
global_step=438437, episodic_return=606.51
SPS: 169
global_step=439438, episodic_return=617.52
SPS: 169
global_step=440439, episodic_return=622.80
SPS: 169
global_step=441440, episodic_return=430.54
SPS: 169
global_step=442441, episodic_return=556.02
SPS: 169
global_step=443442, episodic_return=610.65
SPS: 169
global_step=444443, episodic_return=573.37
SPS: 169
global_step=445444, episodic_return=533.19
global_step=446445, episodic_return=415.50
SPS: 169
global_step=447446, episodic_return=253.23
SPS: 169
global_step=448447, episodic_return=263.93
SPS: 169
global_step=449448, episodic_return=551.04
SPS: 169
global_step=450449, episodic_return=380.82
SPS: 169
global_step=451450, episodic_return=385.27
SPS: 169
global_step=452451, episodic_return=512.38
SPS: 169
global_step=453452, episodic_return=363.86
SPS: 169
global_step=454453, episodic_return=496.35
SPS: 169
global_step=455454, episodic_return=501.78
SPS: 169
global_step=456455, episodic_return=527.33
SPS: 169
global_step=457456, episodic_return=562.77
SPS: 169
global_step=458457, episodic_return=566.02
SPS: 169
global_step=459458, episodic_return=598.15
SPS: 169
global_step=460459, episodic_return=303.50
SPS: 169
global_step=461460, episodic_return=577.94
SPS: 169
global_step=462461, episodic_return=538.27
SPS: 169
global_step=463462, episodic_return=297.47
SPS: 169
global_step=464463, episodic_return=648.05
SPS: 169
global_step=465464, episodic_return=537.77
SPS: 169
global_step=466465, episodic_return=551.90
SPS: 169
global_step=467466, episodic_return=586.45
SPS: 169
global_step=468467, episodic_return=585.79
SPS: 169
global_step=469468, episodic_return=653.52
SPS: 169
global_step=470469, episodic_return=616.90
SPS: 169
global_step=471470, episodic_return=626.46
SPS: 169
global_step=472471, episodic_return=619.80
SPS: 169
global_step=473472, episodic_return=582.05
SPS: 169
global_step=474473, episodic_return=354.11
SPS: 169
global_step=475474, episodic_return=498.71
SPS: 169
global_step=476475, episodic_return=590.43
SPS: 169
global_step=477476, episodic_return=430.57
SPS: 169
global_step=478477, episodic_return=663.25
SPS: 169
global_step=479478, episodic_return=204.05
SPS: 169
global_step=480479, episodic_return=580.47
SPS: 169
global_step=481480, episodic_return=404.01
SPS: 169
global_step=482481, episodic_return=525.67
SPS: 169
global_step=483482, episodic_return=637.52
SPS: 169
global_step=484483, episodic_return=282.46
SPS: 169
global_step=485484, episodic_return=458.77
SPS: 169
global_step=486485, episodic_return=645.79
SPS: 169
global_step=487486, episodic_return=495.63
SPS: 169
global_step=488487, episodic_return=584.47
SPS: 169
global_step=489488, episodic_return=581.58
global_step=490489, episodic_return=546.37
SPS: 169
global_step=491490, episodic_return=503.88
SPS: 169
global_step=492491, episodic_return=275.01
SPS: 169
global_step=493492, episodic_return=343.19
SPS: 169
global_step=494493, episodic_return=214.77
SPS: 169
global_step=495494, episodic_return=609.74
SPS: 169
global_step=496495, episodic_return=580.47
SPS: 169
global_step=497496, episodic_return=585.38
SPS: 169
global_step=498497, episodic_return=532.86
SPS: 169
global_step=499498, episodic_return=552.53
SPS: 169
global_step=500499, episodic_return=494.36
SPS: 169
global_step=501500, episodic_return=476.00
SPS: 169
global_step=502501, episodic_return=415.79
SPS: 169
global_step=503502, episodic_return=476.02
SPS: 169
global_step=504503, episodic_return=210.57
SPS: 169
global_step=505504, episodic_return=449.50
SPS: 169
global_step=506505, episodic_return=443.16
SPS: 169
global_step=507506, episodic_return=562.87
SPS: 169
global_step=508507, episodic_return=608.26
SPS: 169
global_step=509508, episodic_return=522.41
SPS: 169
global_step=510509, episodic_return=251.02
SPS: 169
global_step=511510, episodic_return=471.08
SPS: 169
global_step=512511, episodic_return=670.42
SPS: 169
global_step=513512, episodic_return=463.51
SPS: 169
global_step=514513, episodic_return=654.41
SPS: 169
global_step=515514, episodic_return=628.22
SPS: 169
global_step=516515, episodic_return=224.00
SPS: 169
global_step=517516, episodic_return=602.93
SPS: 169
global_step=518517, episodic_return=598.60
SPS: 169
global_step=519518, episodic_return=582.77
SPS: 169
global_step=520519, episodic_return=636.37
SPS: 169
global_step=521520, episodic_return=482.97
SPS: 169
global_step=522521, episodic_return=646.10
SPS: 169
global_step=523522, episodic_return=519.11
SPS: 169
global_step=524523, episodic_return=507.39
SPS: 169
global_step=525524, episodic_return=627.73
SPS: 169
global_step=526525, episodic_return=629.10
SPS: 169
global_step=527526, episodic_return=646.14
SPS: 169
global_step=528527, episodic_return=574.94
SPS: 169
global_step=529528, episodic_return=624.50
SPS: 169
global_step=530529, episodic_return=364.25
SPS: 169
global_step=531530, episodic_return=431.54
SPS: 169
global_step=532531, episodic_return=674.54
SPS: 169
global_step=533532, episodic_return=655.62
SPS: 169
global_step=534533, episodic_return=645.27
global_step=535534, episodic_return=678.93
SPS: 169
global_step=536535, episodic_return=621.51
SPS: 169
global_step=537536, episodic_return=497.62
SPS: 169
global_step=538537, episodic_return=435.97
SPS: 169
global_step=539538, episodic_return=504.81
SPS: 169
global_step=540539, episodic_return=245.92
SPS: 169
global_step=541540, episodic_return=536.18
SPS: 169
global_step=542541, episodic_return=497.14
SPS: 169
global_step=543542, episodic_return=659.28
SPS: 169
global_step=544543, episodic_return=663.78
SPS: 169
global_step=545544, episodic_return=652.41
SPS: 169
global_step=546545, episodic_return=326.07
SPS: 169
global_step=547546, episodic_return=575.18
SPS: 169
global_step=548547, episodic_return=597.12
SPS: 169
global_step=549548, episodic_return=349.83
SPS: 169
global_step=550549, episodic_return=602.50
SPS: 169
global_step=551550, episodic_return=671.93
SPS: 169
global_step=552551, episodic_return=652.13
SPS: 169
global_step=553552, episodic_return=659.47
SPS: 169
global_step=554553, episodic_return=680.84
SPS: 169
global_step=555554, episodic_return=525.83
SPS: 169
global_step=556555, episodic_return=680.43
SPS: 169
global_step=557556, episodic_return=685.30
SPS: 169
global_step=558557, episodic_return=673.44
SPS: 169
global_step=559558, episodic_return=660.03
SPS: 169
global_step=560559, episodic_return=555.49
SPS: 169
global_step=561560, episodic_return=563.51
SPS: 169
global_step=562561, episodic_return=209.11
SPS: 169
global_step=563562, episodic_return=256.48
SPS: 169
global_step=564563, episodic_return=610.13
SPS: 169
global_step=565564, episodic_return=629.34
SPS: 169
global_step=566565, episodic_return=331.48
SPS: 169
global_step=567566, episodic_return=642.24
SPS: 169
global_step=568567, episodic_return=581.56
SPS: 169
global_step=569568, episodic_return=343.39
SPS: 169
global_step=570569, episodic_return=413.03
SPS: 169
global_step=571570, episodic_return=363.12
SPS: 169
global_step=572571, episodic_return=676.04
SPS: 169
global_step=573572, episodic_return=437.42
SPS: 169
global_step=574573, episodic_return=669.07
SPS: 169
global_step=575574, episodic_return=194.20
SPS: 169
global_step=576575, episodic_return=253.10
SPS: 169
global_step=577576, episodic_return=603.12
SPS: 169
global_step=578577, episodic_return=666.11
global_step=579578, episodic_return=685.28
SPS: 169
global_step=580579, episodic_return=297.72
SPS: 169
global_step=581580, episodic_return=482.75
SPS: 169
global_step=582581, episodic_return=306.86
SPS: 169
global_step=583582, episodic_return=526.82
SPS: 169
global_step=584583, episodic_return=458.49
SPS: 169
global_step=585584, episodic_return=526.27
SPS: 169
global_step=586585, episodic_return=610.40
SPS: 169
