Beginning training
global_step=1000, episodic_return=3.40
SPS: 144
global_step=2001, episodic_return=1.31
SPS: 156
global_step=3002, episodic_return=6.32
SPS: 162
global_step=4003, episodic_return=12.01
SPS: 164
global_step=5004, episodic_return=8.64
SPS: 166
global_step=6005, episodic_return=5.93
SPS: 167
global_step=7006, episodic_return=8.97
SPS: 168
global_step=8007, episodic_return=10.38
SPS: 168
global_step=9008, episodic_return=18.30
SPS: 169
global_step=10009, episodic_return=18.20
SPS: 169
global_step=11010, episodic_return=23.40
SPS: 170
global_step=12011, episodic_return=26.82
SPS: 170
global_step=13012, episodic_return=49.75
SPS: 170
global_step=14013, episodic_return=49.14
SPS: 170
global_step=15014, episodic_return=58.96
SPS: 171
global_step=16015, episodic_return=59.71
SPS: 171
global_step=17016, episodic_return=65.48
SPS: 171
global_step=18017, episodic_return=71.46
SPS: 171
global_step=19018, episodic_return=85.22
SPS: 171
global_step=20019, episodic_return=102.58
SPS: 171
global_step=21020, episodic_return=100.89
SPS: 171
global_step=22021, episodic_return=104.77
SPS: 171
global_step=23022, episodic_return=62.80
SPS: 171
global_step=24023, episodic_return=135.05
SPS: 171
global_step=25024, episodic_return=137.65
SPS: 171
global_step=26025, episodic_return=120.92
SPS: 171
global_step=27026, episodic_return=136.47
SPS: 171
global_step=28027, episodic_return=143.22
SPS: 171
global_step=29028, episodic_return=83.88
SPS: 172
global_step=30029, episodic_return=70.24
SPS: 172
global_step=31030, episodic_return=37.91
SPS: 172
global_step=32031, episodic_return=174.04
SPS: 172
global_step=33032, episodic_return=89.87
SPS: 171
global_step=34033, episodic_return=139.50
SPS: 171
global_step=35034, episodic_return=173.79
SPS: 172
global_step=36035, episodic_return=190.14
SPS: 172
global_step=37036, episodic_return=158.42
SPS: 172
global_step=38037, episodic_return=192.70
SPS: 171
global_step=39038, episodic_return=197.15
SPS: 172
global_step=40039, episodic_return=199.92
SPS: 172
global_step=41040, episodic_return=87.43
SPS: 172
global_step=42041, episodic_return=197.37
SPS: 172
global_step=43042, episodic_return=42.23
SPS: 171
global_step=44043, episodic_return=198.25
global_step=45044, episodic_return=42.24
SPS: 171
global_step=46045, episodic_return=81.62
SPS: 171
global_step=47046, episodic_return=218.62
SPS: 171
global_step=48047, episodic_return=213.72
SPS: 171
global_step=49048, episodic_return=140.30
SPS: 171
global_step=50049, episodic_return=238.73
SPS: 171
global_step=51050, episodic_return=73.93
SPS: 171
global_step=52051, episodic_return=100.38
SPS: 171
global_step=53052, episodic_return=138.62
SPS: 172
global_step=54053, episodic_return=30.66
SPS: 172
global_step=55054, episodic_return=204.24
SPS: 172
global_step=56055, episodic_return=267.68
SPS: 172
global_step=57056, episodic_return=43.16
SPS: 172
global_step=58057, episodic_return=210.18
SPS: 171
global_step=59058, episodic_return=209.04
SPS: 171
global_step=60059, episodic_return=40.28
SPS: 172
global_step=61060, episodic_return=257.36
SPS: 171
global_step=62061, episodic_return=243.96
SPS: 171
global_step=63062, episodic_return=259.86
SPS: 171
global_step=64063, episodic_return=245.64
SPS: 171
global_step=65064, episodic_return=250.09
SPS: 171
global_step=66065, episodic_return=249.27
SPS: 171
global_step=67066, episodic_return=278.18
SPS: 171
global_step=68067, episodic_return=245.98
SPS: 171
global_step=69068, episodic_return=220.97
SPS: 171
global_step=70069, episodic_return=258.38
SPS: 171
global_step=71070, episodic_return=230.51
SPS: 171
global_step=72071, episodic_return=200.35
SPS: 171
global_step=73072, episodic_return=275.38
SPS: 171
global_step=74073, episodic_return=260.42
SPS: 171
global_step=75074, episodic_return=278.22
SPS: 171
global_step=76075, episodic_return=249.63
SPS: 171
global_step=77076, episodic_return=250.82
SPS: 171
global_step=78077, episodic_return=260.92
SPS: 172
global_step=79078, episodic_return=260.49
SPS: 171
global_step=80079, episodic_return=282.97
SPS: 171
global_step=81080, episodic_return=250.58
SPS: 171
global_step=82081, episodic_return=294.96
SPS: 171
global_step=83082, episodic_return=274.02
SPS: 171
global_step=84083, episodic_return=299.24
SPS: 171
global_step=85084, episodic_return=65.72
SPS: 171
global_step=86085, episodic_return=284.71
SPS: 171
global_step=87086, episodic_return=327.58
SPS: 171
global_step=88087, episodic_return=262.37
global_step=89088, episodic_return=263.54
SPS: 171
global_step=90089, episodic_return=294.81
SPS: 171
global_step=91090, episodic_return=299.68
SPS: 171
global_step=92091, episodic_return=281.19
SPS: 171
global_step=93092, episodic_return=299.54
SPS: 171
global_step=94093, episodic_return=272.73
SPS: 171
global_step=95094, episodic_return=306.70
SPS: 171
global_step=96095, episodic_return=310.10
SPS: 171
global_step=97096, episodic_return=184.02
SPS: 171
global_step=98097, episodic_return=268.13
SPS: 171
global_step=99098, episodic_return=289.01
SPS: 171
global_step=100099, episodic_return=313.05
SPS: 171
global_step=101100, episodic_return=197.95
SPS: 171
global_step=102101, episodic_return=146.70
SPS: 171
global_step=103102, episodic_return=317.79
SPS: 171
global_step=104103, episodic_return=140.41
SPS: 171
global_step=105104, episodic_return=296.74
SPS: 171
global_step=106105, episodic_return=320.84
SPS: 171
global_step=107106, episodic_return=298.90
SPS: 171
global_step=108107, episodic_return=300.44
SPS: 171
global_step=109108, episodic_return=306.42
SPS: 171
global_step=110109, episodic_return=237.68
SPS: 171
global_step=111110, episodic_return=301.00
SPS: 171
global_step=112111, episodic_return=312.23
SPS: 171
global_step=113112, episodic_return=295.05
SPS: 171
global_step=114113, episodic_return=229.35
SPS: 171
global_step=115114, episodic_return=323.43
SPS: 171
global_step=116115, episodic_return=314.57
SPS: 171
global_step=117116, episodic_return=304.20
SPS: 171
global_step=118117, episodic_return=287.63
SPS: 171
global_step=119118, episodic_return=269.26
SPS: 171
global_step=120119, episodic_return=197.56
SPS: 171
global_step=121120, episodic_return=325.94
SPS: 171
global_step=122121, episodic_return=317.79
SPS: 171
global_step=123122, episodic_return=231.01
SPS: 171
global_step=124123, episodic_return=322.61
SPS: 171
global_step=125124, episodic_return=145.24
SPS: 171
global_step=126125, episodic_return=309.22
SPS: 171
global_step=127126, episodic_return=244.54
SPS: 171
global_step=128127, episodic_return=272.48
SPS: 171
global_step=129128, episodic_return=233.53
SPS: 170
global_step=130129, episodic_return=311.34
SPS: 170
global_step=131130, episodic_return=319.87
SPS: 170
global_step=132131, episodic_return=339.08
SPS: 170
global_step=133132, episodic_return=304.54
global_step=134133, episodic_return=270.58
SPS: 170
global_step=135134, episodic_return=299.49
SPS: 170
global_step=136135, episodic_return=290.91
SPS: 170
global_step=137136, episodic_return=319.36
SPS: 170
global_step=138137, episodic_return=320.01
SPS: 170
global_step=139138, episodic_return=275.53
SPS: 170
global_step=140139, episodic_return=311.81
SPS: 170
global_step=141140, episodic_return=327.86
SPS: 170
global_step=142141, episodic_return=312.05
SPS: 170
global_step=143142, episodic_return=338.38
SPS: 170
global_step=144143, episodic_return=332.89
SPS: 170
global_step=145144, episodic_return=307.51
SPS: 170
global_step=146145, episodic_return=328.79
SPS: 170
global_step=147146, episodic_return=307.03
SPS: 170
global_step=148147, episodic_return=323.77
SPS: 170
global_step=149148, episodic_return=325.11
SPS: 170
global_step=150149, episodic_return=278.01
SPS: 170
global_step=151150, episodic_return=329.79
SPS: 170
global_step=152151, episodic_return=306.33
SPS: 170
global_step=153152, episodic_return=328.41
SPS: 170
global_step=154153, episodic_return=297.26
SPS: 170
global_step=155154, episodic_return=362.59
SPS: 170
global_step=156155, episodic_return=310.51
SPS: 170
global_step=157156, episodic_return=342.86
SPS: 170
global_step=158157, episodic_return=120.53
SPS: 170
global_step=159158, episodic_return=321.67
SPS: 170
global_step=160159, episodic_return=318.98
SPS: 170
global_step=161160, episodic_return=176.00
SPS: 170
global_step=162161, episodic_return=271.53
SPS: 170
global_step=163162, episodic_return=149.55
SPS: 170
global_step=164163, episodic_return=335.13
SPS: 170
global_step=165164, episodic_return=366.05
SPS: 170
global_step=166165, episodic_return=344.23
SPS: 170
global_step=167166, episodic_return=151.07
SPS: 170
global_step=168167, episodic_return=152.98
SPS: 170
global_step=169168, episodic_return=349.67
SPS: 170
global_step=170169, episodic_return=302.86
SPS: 170
global_step=171170, episodic_return=105.33
SPS: 170
global_step=172171, episodic_return=248.79
SPS: 170
global_step=173172, episodic_return=282.87
SPS: 170
global_step=174173, episodic_return=240.90
SPS: 170
global_step=175174, episodic_return=220.15
SPS: 170
global_step=176175, episodic_return=323.22
SPS: 170
global_step=177176, episodic_return=275.68
SPS: 170
global_step=178177, episodic_return=314.48
global_step=179178, episodic_return=304.43
SPS: 170
global_step=180179, episodic_return=276.87
SPS: 170
global_step=181180, episodic_return=87.39
SPS: 170
global_step=182181, episodic_return=287.52
SPS: 170
global_step=183182, episodic_return=320.50
SPS: 170
global_step=184183, episodic_return=252.42
SPS: 170
global_step=185184, episodic_return=130.87
SPS: 170
global_step=186185, episodic_return=315.80
SPS: 170
global_step=187186, episodic_return=321.34
SPS: 170
global_step=188187, episodic_return=334.81
SPS: 170
global_step=189188, episodic_return=356.72
SPS: 170
global_step=190189, episodic_return=279.40
SPS: 170
global_step=191190, episodic_return=314.33
SPS: 170
global_step=192191, episodic_return=291.24
SPS: 170
global_step=193192, episodic_return=312.00
SPS: 170
global_step=194193, episodic_return=300.92
SPS: 170
global_step=195194, episodic_return=108.78
SPS: 170
global_step=196195, episodic_return=261.35
SPS: 170
global_step=197196, episodic_return=345.90
SPS: 170
global_step=198197, episodic_return=173.21
SPS: 170
global_step=199198, episodic_return=254.86
SPS: 170
global_step=200199, episodic_return=325.17
SPS: 170
global_step=201200, episodic_return=377.70
SPS: 170
global_step=202201, episodic_return=169.06
SPS: 170
global_step=203202, episodic_return=321.58
SPS: 170
global_step=204203, episodic_return=301.87
SPS: 170
global_step=205204, episodic_return=301.67
SPS: 170
global_step=206205, episodic_return=349.73
SPS: 170
global_step=207206, episodic_return=376.58
SPS: 170
global_step=208207, episodic_return=172.72
SPS: 170
global_step=209208, episodic_return=348.96
SPS: 171
global_step=210209, episodic_return=264.31
SPS: 171
global_step=211210, episodic_return=314.78
SPS: 171
global_step=212211, episodic_return=53.50
SPS: 171
global_step=213212, episodic_return=380.88
SPS: 171
global_step=214213, episodic_return=323.78
SPS: 171
global_step=215214, episodic_return=336.16
SPS: 171
global_step=216215, episodic_return=335.23
SPS: 171
global_step=217216, episodic_return=253.22
SPS: 171
global_step=218217, episodic_return=324.96
SPS: 171
global_step=219218, episodic_return=397.06
SPS: 171
global_step=220219, episodic_return=309.95
SPS: 171
global_step=221220, episodic_return=359.86
SPS: 171
global_step=222221, episodic_return=367.01
global_step=223222, episodic_return=271.91
SPS: 171
global_step=224223, episodic_return=79.36
SPS: 171
global_step=225224, episodic_return=334.28
SPS: 171
