Beginning training
global_step=999, episodic_return=0.00
global_step=2000, episodic_return=46.00
global_step=3001, episodic_return=0.00
global_step=4002, episodic_return=0.00
SPS: 4380
global_step=5003, episodic_return=79.00
SPS: 376
global_step=6004, episodic_return=0.00
SPS: 227
global_step=7005, episodic_return=54.00
SPS: 174
global_step=8006, episodic_return=130.00
SPS: 148
global_step=9007, episodic_return=308.00
SPS: 131
global_step=10008, episodic_return=23.00
SPS: 121
global_step=11009, episodic_return=97.00
SPS: 113
global_step=12010, episodic_return=0.00
SPS: 107
global_step=13011, episodic_return=0.00
SPS: 103
global_step=14012, episodic_return=0.00
SPS: 99
global_step=15013, episodic_return=0.00
SPS: 97
global_step=16014, episodic_return=0.00
SPS: 94
global_step=17015, episodic_return=0.00
SPS: 92
global_step=18016, episodic_return=127.00
SPS: 90
global_step=19017, episodic_return=0.00
SPS: 88
global_step=20018, episodic_return=310.00
SPS: 87
global_step=21019, episodic_return=6.00
SPS: 86
global_step=22020, episodic_return=727.00
SPS: 85
global_step=23021, episodic_return=14.00
SPS: 84
global_step=24022, episodic_return=0.00
SPS: 83
global_step=25023, episodic_return=165.00
SPS: 82
global_step=26024, episodic_return=748.00
SPS: 81
global_step=27025, episodic_return=0.00
SPS: 81
global_step=28026, episodic_return=0.00
SPS: 80
global_step=29027, episodic_return=990.00
SPS: 80
global_step=30028, episodic_return=135.00
SPS: 79
global_step=31029, episodic_return=989.00
SPS: 79
global_step=32030, episodic_return=978.00
SPS: 78
global_step=33031, episodic_return=12.00
SPS: 78
global_step=34032, episodic_return=511.00
SPS: 77
global_step=35033, episodic_return=10.00
SPS: 77
global_step=36034, episodic_return=665.00
SPS: 77
global_step=37035, episodic_return=820.00
SPS: 76
global_step=38036, episodic_return=0.00
SPS: 76
global_step=39037, episodic_return=848.00
SPS: 76
global_step=40038, episodic_return=855.00
SPS: 76
global_step=41039, episodic_return=65.00
SPS: 75
global_step=42040, episodic_return=982.00
SPS: 75
global_step=43041, episodic_return=6.00
SPS: 75
global_step=44042, episodic_return=988.00
SPS: 75
global_step=45043, episodic_return=83.00
SPS: 75
global_step=46044, episodic_return=970.00
SPS: 74
global_step=47045, episodic_return=203.00
SPS: 74
