Beginning training
global_step=180179, episodic_return=135.48
SPS: 640
global_step=181180, episodic_return=47.13
global_step=182181, episodic_return=28.27
global_step=183182, episodic_return=115.12
global_step=184183, episodic_return=174.99
global_step=185184, episodic_return=181.49
global_step=186185, episodic_return=170.43
global_step=187186, episodic_return=185.35
global_step=188187, episodic_return=47.69
SPS: 640
global_step=189188, episodic_return=37.80
global_step=190189, episodic_return=167.14
global_step=191190, episodic_return=140.54
global_step=192191, episodic_return=211.32
global_step=193192, episodic_return=182.05
global_step=194193, episodic_return=72.80
global_step=195194, episodic_return=38.11
global_step=196195, episodic_return=47.18
SPS: 640
global_step=197196, episodic_return=86.73
global_step=198197, episodic_return=184.63
global_step=199198, episodic_return=168.64
global_step=200199, episodic_return=145.04
global_step=201200, episodic_return=200.59
global_step=202201, episodic_return=167.56
global_step=203202, episodic_return=127.23
global_step=204203, episodic_return=203.21
SPS: 640
global_step=205204, episodic_return=211.34
global_step=206205, episodic_return=127.54
global_step=207206, episodic_return=194.72
global_step=208207, episodic_return=219.55
global_step=209208, episodic_return=207.20
global_step=210209, episodic_return=21.37
global_step=211210, episodic_return=179.45
global_step=212211, episodic_return=42.89
SPS: 640
global_step=213212, episodic_return=217.38
global_step=214213, episodic_return=129.62
global_step=215214, episodic_return=162.84
global_step=216215, episodic_return=189.53
global_step=217216, episodic_return=197.92
global_step=218217, episodic_return=210.35
global_step=219218, episodic_return=106.94
global_step=220219, episodic_return=178.49
SPS: 640
global_step=221220, episodic_return=175.12
global_step=222221, episodic_return=193.69
global_step=223222, episodic_return=96.35
global_step=224223, episodic_return=112.12
global_step=225224, episodic_return=103.32
global_step=226225, episodic_return=217.61
global_step=227226, episodic_return=202.13
global_step=228227, episodic_return=114.01
global_step=229228, episodic_return=174.60
SPS: 640
global_step=230229, episodic_return=239.29
global_step=231230, episodic_return=32.42
global_step=232231, episodic_return=233.91
global_step=233232, episodic_return=90.81
global_step=234233, episodic_return=230.99
global_step=235234, episodic_return=221.25
global_step=236235, episodic_return=133.29
global_step=237236, episodic_return=37.96
SPS: 640
global_step=238237, episodic_return=88.26
global_step=239238, episodic_return=228.14
global_step=240239, episodic_return=158.94
global_step=241240, episodic_return=77.23
global_step=242241, episodic_return=207.13
global_step=243242, episodic_return=192.80
global_step=244243, episodic_return=217.87
global_step=245244, episodic_return=33.39
SPS: 640
global_step=246245, episodic_return=82.01
global_step=247246, episodic_return=38.35
global_step=248247, episodic_return=178.40
global_step=249248, episodic_return=67.63
global_step=250249, episodic_return=177.55
global_step=251250, episodic_return=231.86
global_step=252251, episodic_return=218.52
global_step=253252, episodic_return=182.61
SPS: 640
global_step=254253, episodic_return=146.61
global_step=255254, episodic_return=120.61
global_step=256255, episodic_return=70.46
global_step=257256, episodic_return=215.83
global_step=258257, episodic_return=235.73
global_step=259258, episodic_return=262.18
global_step=260259, episodic_return=33.74
global_step=261260, episodic_return=151.95
SPS: 640
global_step=262261, episodic_return=239.13
global_step=263262, episodic_return=72.19
global_step=264263, episodic_return=201.98
global_step=265264, episodic_return=254.38
global_step=266265, episodic_return=250.25
global_step=267266, episodic_return=44.74
global_step=268267, episodic_return=268.48
global_step=269268, episodic_return=182.94
global_step=270269, episodic_return=107.10
SPS: 640
global_step=271270, episodic_return=221.31
global_step=272271, episodic_return=181.34
global_step=273272, episodic_return=193.23
global_step=274273, episodic_return=249.30
global_step=275274, episodic_return=243.96
global_step=276275, episodic_return=242.17
global_step=277276, episodic_return=247.40
global_step=278277, episodic_return=74.72
SPS: 640
global_step=279278, episodic_return=208.38
global_step=280279, episodic_return=265.95
global_step=281280, episodic_return=67.49
global_step=282281, episodic_return=224.55
global_step=283282, episodic_return=254.51
global_step=284283, episodic_return=262.68
global_step=285284, episodic_return=88.76
global_step=286285, episodic_return=68.24
SPS: 640
global_step=287286, episodic_return=131.41
global_step=288287, episodic_return=93.39
global_step=289288, episodic_return=104.12
global_step=290289, episodic_return=116.50
global_step=291290, episodic_return=268.16
global_step=292291, episodic_return=218.27
global_step=293292, episodic_return=185.71
global_step=294293, episodic_return=253.53
SPS: 640
global_step=295294, episodic_return=203.69
global_step=296295, episodic_return=281.80
global_step=297296, episodic_return=273.74
global_step=298297, episodic_return=242.79
global_step=299298, episodic_return=257.27
global_step=300299, episodic_return=277.25
global_step=301300, episodic_return=111.30
global_step=302301, episodic_return=115.58
SPS: 640
global_step=303302, episodic_return=268.95
global_step=304303, episodic_return=38.30
global_step=305304, episodic_return=259.78
global_step=306305, episodic_return=93.56
global_step=307306, episodic_return=257.44
global_step=308307, episodic_return=280.77
global_step=309308, episodic_return=89.78
global_step=310309, episodic_return=134.81
SPS: 640
global_step=311310, episodic_return=259.10
global_step=312311, episodic_return=278.84
global_step=313312, episodic_return=263.38
global_step=314313, episodic_return=246.27
global_step=315314, episodic_return=70.39
global_step=316315, episodic_return=293.23
global_step=317316, episodic_return=260.07
global_step=318317, episodic_return=143.47
global_step=319318, episodic_return=248.83
SPS: 640
global_step=320319, episodic_return=117.69
global_step=321320, episodic_return=292.07
global_step=322321, episodic_return=281.68
global_step=323322, episodic_return=135.77
global_step=324323, episodic_return=286.99
global_step=325324, episodic_return=269.52
global_step=326325, episodic_return=251.00
global_step=327326, episodic_return=101.13
SPS: 640
global_step=328327, episodic_return=294.74
global_step=329328, episodic_return=173.00
global_step=330329, episodic_return=279.69
global_step=331330, episodic_return=105.96
global_step=332331, episodic_return=289.09
global_step=333332, episodic_return=276.19
global_step=334333, episodic_return=141.29
global_step=335334, episodic_return=95.84
SPS: 640
global_step=336335, episodic_return=290.83
global_step=337336, episodic_return=257.70
global_step=338337, episodic_return=217.26
global_step=339338, episodic_return=244.10
global_step=340339, episodic_return=289.39
global_step=341340, episodic_return=271.23
global_step=342341, episodic_return=296.68
global_step=343342, episodic_return=201.99
SPS: 640
global_step=344343, episodic_return=152.82
global_step=345344, episodic_return=73.83
global_step=346345, episodic_return=85.66
global_step=347346, episodic_return=75.45
global_step=348347, episodic_return=131.61
global_step=349348, episodic_return=290.11
global_step=350349, episodic_return=115.53
global_step=351350, episodic_return=307.78
SPS: 640
global_step=352351, episodic_return=298.41
global_step=353352, episodic_return=78.11
global_step=354353, episodic_return=211.85
global_step=355354, episodic_return=149.98
global_step=356355, episodic_return=304.74
global_step=357356, episodic_return=182.40
global_step=358357, episodic_return=174.89
global_step=359358, episodic_return=292.11
global_step=360359, episodic_return=153.85
SPS: 640
global_step=361360, episodic_return=269.85
global_step=362361, episodic_return=129.35
global_step=363362, episodic_return=326.07
global_step=364363, episodic_return=178.77
global_step=365364, episodic_return=310.89
global_step=366365, episodic_return=249.14
global_step=367366, episodic_return=321.24
global_step=368367, episodic_return=237.36
SPS: 641
global_step=369368, episodic_return=283.97
global_step=370369, episodic_return=154.18
global_step=371370, episodic_return=204.13
global_step=372371, episodic_return=310.16
global_step=373372, episodic_return=102.31
global_step=374373, episodic_return=329.75
global_step=375374, episodic_return=214.73
global_step=376375, episodic_return=302.51
SPS: 641
global_step=377376, episodic_return=309.89
global_step=378377, episodic_return=279.45
global_step=379378, episodic_return=235.03
global_step=380379, episodic_return=145.39
global_step=381380, episodic_return=213.78
global_step=382381, episodic_return=296.70
global_step=383382, episodic_return=320.21
global_step=384383, episodic_return=268.11
SPS: 641
global_step=385384, episodic_return=297.19
global_step=386385, episodic_return=111.12
global_step=387386, episodic_return=295.13
global_step=388387, episodic_return=142.73
global_step=389388, episodic_return=254.16
global_step=390389, episodic_return=179.59
global_step=391390, episodic_return=143.75
global_step=392391, episodic_return=136.16
SPS: 641
global_step=393392, episodic_return=272.16
global_step=394393, episodic_return=342.58
global_step=395394, episodic_return=125.10
global_step=396395, episodic_return=191.62
global_step=397396, episodic_return=337.26
global_step=398397, episodic_return=324.41
global_step=399398, episodic_return=322.96
global_step=400399, episodic_return=328.83
global_step=401400, episodic_return=209.78
SPS: 641
global_step=402401, episodic_return=328.44
global_step=403402, episodic_return=107.58
global_step=404403, episodic_return=341.34
global_step=405404, episodic_return=334.95
global_step=406405, episodic_return=315.67
global_step=407406, episodic_return=321.53
global_step=408407, episodic_return=171.02
global_step=409408, episodic_return=48.44
SPS: 641
global_step=410409, episodic_return=58.01
global_step=411410, episodic_return=344.11
global_step=412411, episodic_return=335.14
global_step=413412, episodic_return=350.44
global_step=414413, episodic_return=358.96
global_step=415414, episodic_return=173.92
global_step=416415, episodic_return=235.09
global_step=417416, episodic_return=352.75
SPS: 641
global_step=418417, episodic_return=319.53
global_step=419418, episodic_return=326.77
global_step=420419, episodic_return=313.11
global_step=421420, episodic_return=324.23
global_step=422421, episodic_return=314.78
global_step=423422, episodic_return=297.83
global_step=424423, episodic_return=334.61
global_step=425424, episodic_return=318.18
SPS: 641
global_step=426425, episodic_return=348.91
global_step=427426, episodic_return=342.74
global_step=428427, episodic_return=58.11
global_step=429428, episodic_return=231.59
global_step=430429, episodic_return=337.65
global_step=431430, episodic_return=378.81
global_step=432431, episodic_return=332.86
global_step=433432, episodic_return=314.45
SPS: 641
global_step=434433, episodic_return=73.20
global_step=435434, episodic_return=149.56
global_step=436435, episodic_return=297.26
global_step=437436, episodic_return=335.07
global_step=438437, episodic_return=359.13
global_step=439438, episodic_return=227.48
global_step=440439, episodic_return=338.41
global_step=441440, episodic_return=324.82
SPS: 641
global_step=442441, episodic_return=194.66
global_step=443442, episodic_return=158.21
