Beginning training
global_step=180179, episodic_return=584.98
SPS: 119
global_step=181180, episodic_return=747.53
global_step=182181, episodic_return=761.50
global_step=183182, episodic_return=669.83
global_step=184183, episodic_return=745.42
global_step=185184, episodic_return=643.02
global_step=186185, episodic_return=579.24
global_step=187186, episodic_return=630.22
global_step=188187, episodic_return=261.42
SPS: 120
global_step=189188, episodic_return=339.08
global_step=190189, episodic_return=537.32
global_step=191190, episodic_return=373.83
global_step=192191, episodic_return=267.59
global_step=193192, episodic_return=298.65
global_step=194193, episodic_return=433.78
global_step=195194, episodic_return=506.58
global_step=196195, episodic_return=418.73
SPS: 120
global_step=197196, episodic_return=683.73
global_step=198197, episodic_return=689.53
global_step=199198, episodic_return=542.51
global_step=200199, episodic_return=670.74
global_step=201200, episodic_return=405.06
global_step=202201, episodic_return=575.08
global_step=203202, episodic_return=353.79
global_step=204203, episodic_return=471.18
SPS: 120
global_step=205204, episodic_return=501.96
global_step=206205, episodic_return=660.22
global_step=207206, episodic_return=568.38
global_step=208207, episodic_return=196.12
global_step=209208, episodic_return=667.62
global_step=210209, episodic_return=361.43
global_step=211210, episodic_return=629.64
global_step=212211, episodic_return=592.41
SPS: 120
global_step=213212, episodic_return=681.30
global_step=214213, episodic_return=492.47
global_step=215214, episodic_return=720.99
global_step=216215, episodic_return=721.49
global_step=217216, episodic_return=590.40
global_step=218217, episodic_return=733.04
global_step=219218, episodic_return=332.26
global_step=220219, episodic_return=470.31
SPS: 121
global_step=221220, episodic_return=742.59
global_step=222221, episodic_return=736.93
global_step=223222, episodic_return=742.56
global_step=224223, episodic_return=740.67
global_step=225224, episodic_return=725.82
global_step=226225, episodic_return=748.15
global_step=227226, episodic_return=734.03
global_step=228227, episodic_return=582.47
global_step=229228, episodic_return=740.78
SPS: 121
global_step=230229, episodic_return=734.63
global_step=231230, episodic_return=731.92
global_step=232231, episodic_return=739.52
global_step=233232, episodic_return=729.70
global_step=234233, episodic_return=632.18
global_step=235234, episodic_return=739.96
global_step=236235, episodic_return=717.63
global_step=237236, episodic_return=731.01
SPS: 122
global_step=238237, episodic_return=733.51
global_step=239238, episodic_return=756.90
global_step=240239, episodic_return=750.34
global_step=241240, episodic_return=739.51
global_step=242241, episodic_return=758.93
global_step=243242, episodic_return=764.27
global_step=244243, episodic_return=751.73
global_step=245244, episodic_return=721.60
SPS: 122
global_step=246245, episodic_return=740.52
global_step=247246, episodic_return=736.29
global_step=248247, episodic_return=755.51
global_step=249248, episodic_return=755.56
global_step=250249, episodic_return=741.15
global_step=251250, episodic_return=279.23
global_step=252251, episodic_return=737.54
global_step=253252, episodic_return=682.99
SPS: 123
global_step=254253, episodic_return=737.26
global_step=255254, episodic_return=744.65
global_step=256255, episodic_return=753.59
global_step=257256, episodic_return=730.71
global_step=258257, episodic_return=723.40
global_step=259258, episodic_return=703.42
global_step=260259, episodic_return=759.43
global_step=261260, episodic_return=751.51
SPS: 123
global_step=262261, episodic_return=724.44
global_step=263262, episodic_return=740.04
global_step=264263, episodic_return=733.73
global_step=265264, episodic_return=730.29
global_step=266265, episodic_return=740.56
global_step=267266, episodic_return=753.96
global_step=268267, episodic_return=755.52
global_step=269268, episodic_return=733.25
global_step=270269, episodic_return=741.90
SPS: 124
global_step=271270, episodic_return=750.10
global_step=272271, episodic_return=750.81
global_step=273272, episodic_return=747.18
global_step=274273, episodic_return=744.38
global_step=275274, episodic_return=746.78
global_step=276275, episodic_return=739.48
global_step=277276, episodic_return=733.51
global_step=278277, episodic_return=751.45
SPS: 124
global_step=279278, episodic_return=739.61
global_step=280279, episodic_return=746.82
global_step=281280, episodic_return=721.51
global_step=282281, episodic_return=733.54
global_step=283282, episodic_return=732.71
global_step=284283, episodic_return=711.11
global_step=285284, episodic_return=726.17
global_step=286285, episodic_return=731.39
SPS: 125
global_step=287286, episodic_return=729.77
global_step=288287, episodic_return=597.96
global_step=289288, episodic_return=720.24
global_step=290289, episodic_return=739.12
global_step=291290, episodic_return=745.56
global_step=292291, episodic_return=724.10
global_step=293292, episodic_return=709.63
global_step=294293, episodic_return=527.30
SPS: 125
global_step=295294, episodic_return=749.78
global_step=296295, episodic_return=732.95
global_step=297296, episodic_return=749.27
global_step=298297, episodic_return=739.43
global_step=299298, episodic_return=745.25
global_step=300299, episodic_return=746.80
global_step=301300, episodic_return=739.46
global_step=302301, episodic_return=739.53
SPS: 125
global_step=303302, episodic_return=339.97
global_step=304303, episodic_return=672.57
global_step=305304, episodic_return=732.11
global_step=306305, episodic_return=741.47
global_step=307306, episodic_return=735.47
global_step=308307, episodic_return=722.13
global_step=309308, episodic_return=738.15
global_step=310309, episodic_return=726.38
SPS: 125
global_step=311310, episodic_return=729.70
global_step=312311, episodic_return=717.19
global_step=313312, episodic_return=714.55
global_step=314313, episodic_return=746.25
global_step=315314, episodic_return=727.86
global_step=316315, episodic_return=724.95
global_step=317316, episodic_return=748.19
