timestep,episodic_return
1000,2.6798441568856073
2001,1.4706180777055935
3002,5.706450562880482
4003,3.825923155955974
5004,3.730119211843351
6005,4.011569222890105
7006,2.190817184132089
8007,5.035313795469013
9008,4.068333497134371
10009,4.649350760386428
11010,2.8981543496630344
12011,7.316359205022721
13012,6.871951519619147
14013,4.257494736110352
15014,16.993907001754096
16015,3.610290497097821
17016,11.45498786232339
18017,11.696799589116369
19018,12.786410791030553
20019,15.179179079859892
21020,11.1902029561084
22021,10.765262286436625
23022,6.438087908809255
24023,9.241823349536487
25024,10.772347976282878
26025,14.397291648153379
27026,16.35984630146465
28027,12.86964805137364
29028,13.57154303611952
30029,20.242937650764166
31030,15.628435860457493
32031,18.91784915617429
33032,18.729059856333574
34033,21.773222639424013
35034,26.148131447513656
36035,19.448404113875224
37036,29.23952535479658
38037,21.228889627740053
39038,27.92413108883688
40039,22.022438364826495
41040,35.0706963939147
42041,34.91997422765958
43042,32.45325739859806
44043,29.661497974590425
45044,33.90180444029419
46045,43.8418435704838
47046,35.517075354268215
48047,37.972559502269895
49048,31.128805680236383
50049,47.02452585153959
51050,46.505790739227564
52051,57.024907922291305
53052,57.648672545931554
54053,44.932140502598294
55054,55.114280699737165
56055,55.68523020450158
57056,50.666281778901215
58057,54.86437093665424
59058,66.91378149391375
60059,74.32489140539819
61060,59.540133166656965
62061,83.27226538744293
63062,56.11459990118752
64063,86.21854880489143
65064,74.77804754455902
66065,76.11260260329374
67066,55.9537301146913
68067,78.01223437223965
69068,84.29993348069262
70069,83.9985475815106
71070,77.03772073014011
72071,25.86543662700558
73072,60.32481467956919
74073,76.82279982388462
75074,97.52222863908791
76075,82.27238920208025
77076,85.03186705181791
78077,85.75618402843025
79078,87.68056590575237
80079,75.39199752204743
81080,67.66036405963492
82081,95.34081879665045
83082,95.31506163899599
84083,44.060093893131764
85084,79.83388381972964
86085,76.505242079198
87086,78.33304970433535
88087,93.84592678066618
89088,111.43419128050363
90089,84.88653788329488
91090,113.33553572499747
92091,96.64502509046561
93092,95.43298934300698
94093,84.58543063677651
95094,100.85468119113179
96095,112.44464223474806
97096,106.5206121073414
98097,122.51272662665805
99098,116.22168257536981
100099,134.3920083847764
101100,62.68119902752763
102101,89.46630517733273
103102,129.0408463553362
104103,106.3841349844797
105104,127.90975484273062
106105,117.1031306214415
107106,90.53160553431346
108107,141.27642811181906
109108,59.01220661752067
110109,89.753341292219
111110,53.303396245414035
112111,54.062059369670386
113112,143.90732446703316
114113,60.604270735086835
115114,139.61295635006644
116115,134.05707416620007
117116,31.604862519354562
118117,147.92235598391872
119118,119.06124275648918
120119,26.24812817400246
121120,30.388326821240994
122121,105.73229947299221
123122,120.197999448366
124123,168.11983851510635
125124,20.4162016804187
126125,130.92127464274634
127126,127.09238329887705
128127,32.62608918665574
129128,136.44641666626677
130129,153.5584752401459
131130,144.34410626426
132131,77.78936584132065
133132,174.94441323915547
134133,25.872633594408743
135134,150.00299554413388
136135,179.0195259315253
137136,161.83432307590098
138137,133.56855830785022
139138,159.32034543676332
140139,96.20577730677762
141140,150.21150184002448
142141,158.3620643101264
143142,71.6251205467473
144143,136.81015595597947
145144,138.3236974068395
146145,189.01188133651908
147146,154.42631689822718
148147,36.75374397313843
149148,181.72066793450497
150149,145.51140992826535
151150,72.8409694161599
152151,24.09177687703236
153152,153.5212799655823
154153,51.99426513673834
155154,179.55807104765609
156155,178.61446933024126
157156,196.69687960538715
158157,153.0264362004603
159158,68.59507401453149
160159,56.42626461750834
161160,131.31983054800716
162161,164.71631733318625
163162,50.68862798876372
164163,62.59334476898578
165164,142.5966455106654
166165,111.6879187303924
167166,176.79220265279162
168167,56.41421587912206
169168,165.20617692389624
170169,45.17098613230701
171170,201.40838779615618
172171,104.01089374257955
173172,23.148101491440052
174173,32.83672772806915
175174,77.2649767050226
176175,174.64390833749354
177176,128.39913812185964
178177,44.33480571902731
179178,185.42008150976747
180179,88.23535979300351
181180,63.975456751765535
182181,183.7913442597988
183182,64.50756098393677
184183,169.94541289594886
185184,97.65995402389784
186185,175.14746456988723
187186,188.1402707877177
188187,198.77695334373362
189188,136.46466639270062
190189,21.132508692608376
191190,166.16484765347536
192191,178.0869842949916
193192,38.6732233435559
194193,68.97207529132004
195194,55.07762272546345
196195,178.50250920948977
197196,213.01094029818844
198197,167.34479054531224
199198,170.76223010148627
200199,182.90147397464335
201200,26.451468416473972
202201,78.2875601209362
203202,46.385580749385014
204203,92.93292750721575
205204,122.37858508636026
206205,188.90626097407693
207206,130.39322119985215
208207,57.76949307433413
209208,195.15283505121607
210209,86.47370477405772
211210,45.18573276868893
212211,188.48095993902987
213212,199.53541015343177
214213,109.38649944264063
215214,200.08578726502944
216215,228.55113798689518
217216,208.83350542595394
218217,195.8745649396797
219218,128.06206790790122
220219,220.6823831443609
221220,140.9928052350532
222221,133.42795924035372
223222,45.550083109243836
224223,236.2349885996914
225224,166.2606771874504
226225,75.47372207944824
227226,215.1897100466198
228227,243.43964091213843
229228,185.07621538530404
230229,253.4091140884111
231230,162.63108949577298
232231,78.73421585822568
233232,61.67196500981787
234233,243.78811877113952
235234,221.3492908029929
236235,223.206492523368
237236,230.38374793172335
238237,143.49351421769651
239238,252.8613693276634
240239,222.53191758588983
241240,206.42633169669088
242241,231.6826479844806
243242,231.07719119494612
244243,89.91337878708316
245244,219.37247087376156
246245,279.6380946690372
247246,26.919679566331435
248247,187.52260484643892
249248,85.47383739461145
250249,246.19866530235117
251250,243.80892037495627
252251,46.01478624444356
253252,231.08718424726604
254253,225.087833228516
255254,236.20861467842107
256255,235.79366660889676
257256,246.8392387228986
258257,273.5851520519778
259258,209.4558531816906
260259,99.95275855145307
261260,226.1956203241576
262261,200.44098133366538
263262,210.2567945037121
264263,177.89889084753554
265264,104.11066015802993
266265,115.90990998130582
267266,248.84356185520681
268267,183.12986204946165
269268,109.9991415500545
270269,263.9137521219704
271270,259.6320312478735
272271,197.7027117225748
273272,269.21231775641706
274273,163.0024944619245
275274,245.22630859719743
276275,173.35939487464043
277276,140.50624057055208
278277,261.274669505777
279278,98.66641574516906
280279,157.00292552807736
281280,138.8348183744909
282281,226.052029915299
283282,297.70759920298536
284283,246.95454648305065
285284,241.7083684601686
286285,61.0479770618644
287286,99.09527554342435
288287,252.39889057042112
289288,64.6154938541456
290289,263.1952340885509
291290,136.04963279010542
292291,247.30714722165723
293292,290.75723391980745
294293,283.0462148958106
295294,267.1894020444955
296295,256.12831426735784
297296,176.4476337145475
298297,239.5355539929804
299298,26.9847216465076
300299,113.09192334902347
301300,245.7854457007916
302301,294.26665250263267
303302,270.83775898580006
304303,76.4933357013703
305304,215.44913194335135
306305,298.0007379044031
307306,185.17101171238264
308307,249.1806867861681
309308,205.6770819571665
310309,66.50000070165854
311310,134.5893234798808
312311,277.86097819084716
313312,281.54741225253116
314313,188.82814362458794
315314,281.4005293675197
316315,197.3927325538893
317316,175.06911620998113
318317,275.74960707111387
319318,303.7381206436101
320319,299.29465326134823
321320,286.01363697782386
