timestep,episodic_return
1034032,675.0
1035033,542.0
1036034,851.0
1037035,383.0
1038036,696.0
1039037,154.0
1040038,991.0
1041039,621.0
1042040,631.0
1043041,423.0
1044042,156.0
1045043,755.0
1046044,327.0
1047045,585.0
1048046,736.0
1049047,507.0
1050048,488.0
1051049,933.0
1052050,825.0
1053051,565.0
1054052,860.0
1055053,741.0
1056054,246.0
1057055,838.0
1058056,357.0
1059057,901.0
1060058,634.0
1061059,835.0
1062060,781.0
1063061,622.0
1064062,908.0
1065063,625.0
1066064,650.0
1067065,419.0
1068066,613.0
1069067,307.0
1070068,654.0
1071069,660.0
1072070,906.0
1073071,929.0
1074072,738.0
1075073,473.0
1076074,793.0
1077075,535.0
1078076,721.0
1079077,757.0
1080078,731.0
1081079,502.0
1082080,841.0
1083081,670.0
1084082,42.0
1085083,925.0
1086084,715.0
1087085,725.0
1088086,516.0
1089087,460.0
1090088,913.0
1091089,866.0
1092090,448.0
1093091,553.0
1094092,931.0
1095093,920.0
1096094,165.0
1097095,878.0
1098096,855.0
1099097,767.0
1100098,231.0
1101099,781.0
1102100,62.0
1103101,879.0
1104102,836.0
1105103,939.0
1106104,461.0
1107105,29.0
1108106,776.0
1109107,843.0
1110108,576.0
1111109,487.0
1112110,742.0
1113111,132.0
1114112,667.0
1115113,865.0
1116114,336.0
1117115,708.0
1118116,961.0
1119117,863.0
1120118,38.0
1121119,362.0
1122120,476.0
1123121,930.0
1124122,864.0
1125123,898.0
1126124,674.0
1127125,81.0
1128126,600.0
1129127,766.0
1130128,683.0
1131129,518.0
1132130,790.0
1133131,927.0
1134132,936.0
1135133,544.0
1136134,1000.0
1137135,901.0
1138136,915.0
1139137,423.0
1140138,346.0
1141139,275.0
1142140,752.0
1143141,932.0
1144142,750.0
1145143,690.0
1146144,813.0
1147145,900.0
1148146,412.0
1149147,683.0
1150148,816.0
1151149,708.0
1152150,769.0
1153151,966.0
1154152,652.0
1155153,626.0
1156154,620.0
1157155,810.0
1158156,590.0
1159157,604.0
1160158,978.0
1161159,700.0
1162160,534.0
1163161,320.0
1164162,417.0
1165163,582.0
1166164,627.0
1167165,217.0
1168166,633.0
1169167,671.0
1170168,714.0
1171169,575.0
1172170,278.0
1173171,387.0
1174172,851.0
1175173,494.0
1176174,689.0
1177175,627.0
1178176,790.0
1179177,680.0
1180178,696.0
1181179,635.0
1182180,708.0
1183181,640.0
1184182,579.0
1185183,656.0
1186184,730.0
1187185,443.0
1188186,711.0
1189187,73.0
1190188,788.0
1191189,648.0
1192190,742.0
1193191,679.0
1194192,744.0
1195193,860.0
1196194,836.0
1197195,601.0
1198196,775.0
1199197,733.0
1200198,549.0
1201199,845.0
1202200,684.0
1203201,674.0
1204202,358.0
1205203,664.0
1206204,459.0
1207205,667.0
1208206,910.0
1209207,855.0
1210208,807.0
1211209,295.0
1212210,929.0
1213211,919.0
1214212,736.0
1215213,794.0
1216214,465.0
1217215,506.0
1218216,716.0
1219217,824.0
1220218,813.0
1221219,582.0
1222220,1000.0
1223221,68.0
1224222,619.0
1225223,933.0
1226224,741.0
1227225,245.0
1228226,588.0
1229227,564.0
1230228,731.0
1231229,706.0
1232230,609.0
1233231,931.0
1234232,715.0
1235233,741.0
1236234,876.0
1237235,512.0
1238236,357.0
1239237,879.0
1240238,666.0
1241239,822.0
1242240,490.0
1243241,711.0
1244242,511.0
1245243,834.0
1246244,935.0
1247245,932.0
1248246,881.0
1249247,899.0
1250248,653.0
1251249,485.0
1252250,772.0
1253251,936.0
1254252,768.0
1255253,551.0
1256254,628.0
1257255,927.0
1258256,844.0
1259257,747.0
1260258,922.0
1261259,758.0
1262260,659.0
1263261,781.0
1264262,831.0
1265263,127.0
1266264,421.0
1267265,632.0
1268266,687.0
1269267,449.0
1270268,811.0
1271269,684.0
1272270,817.0
1273271,335.0
1274272,862.0
1275273,815.0
1276274,675.0
1277275,610.0
1278276,849.0
1279277,659.0
1280278,814.0
1281279,434.0
1282280,742.0
1283281,893.0
1284282,511.0
1285283,659.0
1286284,770.0
1287285,963.0
1288286,746.0
1289287,279.0
1290288,894.0
1291289,872.0
1292290,720.0
1293291,939.0
1294292,408.0
1295293,547.0
1296294,760.0
1297295,919.0
1298296,929.0
1299297,22.0
1300298,730.0
1301299,919.0
1302300,875.0
1303301,887.0
1304302,335.0
1305303,625.0
1306304,870.0
1307305,792.0
1308306,630.0
1309307,235.0
1310308,881.0
1311309,474.0
1312310,482.0
1313311,903.0
1314312,590.0
1315313,781.0
1316314,311.0
1317315,665.0
1318316,788.0
1319317,592.0
1320318,310.0
1321319,934.0
1322320,864.0
1323321,858.0
1324322,979.0
